Afar (Djibouti): ZZZ | aar
Lower Sorbian (Germany): DSB | dsb
Lower Sorbian: DSB | dsb
Luba-Katanga (Congo [DRC]): ZZZ | lub
Luba-Katanga: ZZZ | lub
Lule Sami (Norway): SMJ | smj
Lule Sami (Sweden): SMK | smj
Lule Sami: SMK | smj
Luo (Kenya): ZZZ | luo
Luo: ZZZ | luo
Luxembourgish (Luxembourg): LBX | ltz
Luxembourgish: LBX | ltz
Luyia (Kenya): ZZZ | luy
Luyia: ZZZ | luy
Macedonian (North Macedonia): MKI | mkd
Macedonian: MKI | mkd
Machame (Tanzania): ZZZ | jmc
Machame: ZZZ | jmc
Maithili (India): ZZZ | mai
Maithili: ZZZ | mai
Makhuwa-Meetto (Mozambique): ZZZ | mgh
Makhuwa-Meetto: ZZZ | mgh
Makonde (Tanzania): ZZZ | kde
Makonde: ZZZ | kde
Malagasy (Madagascar): MLG | mlg
Malagasy: MLG | mlg
Malay (Brunei): MSB | msa
Malay (Indonesia): ZZZ | msa
Malay (Malaysia): MSL | msa
Malay (Singapore): ZZZ | msa
Malay: MSL | msa
Malayalam (India): MYM | mal
Malayalam: MYM | mal
Maltese (Malta): MLT | mlt
Maltese: MLT | mlt
Manipuri (Bangla): ZZZ | mni
Manipuri (Bangla, India): ZZZ | mni
Manipuri: ZZZ | mni
Manx (Isle of Man): ZZZ | glv
Manx: ZZZ | glv
Maori (New Zealand): MRI | mri
Maori: MRI | mri
Mapuche (Chile): MPD | arn
Mapuche: MPD | arn
Marathi (India): MAR | mar
Marathi: MAR | mar
Masai (Kenya): ZZZ | mas
Masai (Tanzania): ZZZ | mas
Masai: ZZZ | mas
Mazanderani (Iran): ZZZ | mzn
Mazanderani: ZZZ | mzn
Meru (Kenya): ZZZ | mer
Meru: ZZZ | mer
Metaʼ (Cameroon): ZZZ | mgo
Metaʼ: ZZZ | mgo
Mohawk (Canada): MWK | moh
Mohawk: MWK | moh
Mongolian (Mongolia): MNN | mon
Mongolian (Mongolian): MNG | mon
Mongolian (Mongolian, China): MNG | mon
Mongolian (Mongolian, Mongolia): MNM | mon
Mongolian: MON | mon
Morisyen (Mauritius): ZZZ | mfe
Morisyen: ZZZ | mfe
Mundang (Cameroon): ZZZ | mua
Mundang: ZZZ | mua
Nama (Namibia): ZZZ | naq
Nama: ZZZ | naq
Nepali (India): NEI | nep
Nepali (Nepal): NEP | nep
Nepali: NEP | nep
Ngiemboon (Cameroon): ZZZ | nnh
Ngiemboon: ZZZ | nnh
Ngomba (Cameroon): ZZZ | jgo
Ngomba: ZZZ | jgo
Nigerian Pidgin (Nigeria): ZZZ | pcm
Nigerian Pidgin: ZZZ | pcm
North Ndebele (Zimbabwe): ZZZ | nde
North Ndebele: ZZZ | nde
Northern Luri (Iran): ZZZ | lrc
Northern Luri (Iraq): ZZZ | lrc
Northern Luri: ZZZ | lrc
Northern Sami (Finland): SMG | sme
Northern Sami (Norway): SME | sme
Northern Sami (Sweden): SMF | sme
Northern Sami: SME | sme
Norwegian Bokmål (Norway): NOR | nob
Norwegian Bokmål (Svalbard & Jan Mayen): ZZZ | nob
Norwegian Bokmål: NOR | nob
Norwegian Nynorsk (Norway): NON | nno
Norwegian Nynorsk: NON | nno
Nuer (South Sudan): ZZZ | nus
Nuer: ZZZ | nus
Nyankole (Uganda): ZZZ | nyn
Nyankole: ZZZ | nyn
N’Ko (Guinea): NQO | nqo
N’Ko: NQO | nqo
Occitan (France): OCI | oci
Occitan: OCI | oci
Odia (India): ORI | ori
Odia: ORI | ori
Oromo (Ethiopia): ORM | orm
Oromo (Kenya): ZZZ | orm
Oromo: ORM | orm
Ossetic (Georgia): ZZZ | oss
Ossetic (Russia): ZZZ | oss
Ossetic: ZZZ | oss
Papiamento (Caribbean): ZZZ | pap
Papiamento: ZZZ | pap
Pashto (Afghanistan): PAS | pus
Pashto (Pakistan): ZZZ | pus
Pashto: PAS | pus
Persian (Afghanistan): ZZZ | fas
Persian (Iran): FAR | fas
Persian: FAR | fas
Polish (Poland): PLK | pol
Polish: PLK | pol
Portuguese (Angola): PTA | por
Portuguese (Brazil): PTB | por
Portuguese (Cabo Verde): ZZZ | por
Portuguese (Equatorial Guinea): ZZZ | por
Portuguese (Guinea-Bissau): ZZZ | por
Portuguese (Luxembourg): ZZZ | por
Portuguese (Macao SAR): ZZZ | por
Portuguese (Mozambique): ZZZ | por
Portuguese (Portugal): PTG | por
Portuguese (São Tomé & Príncipe): ZZZ | por
Portuguese (Switzerland): ZZZ | por
Portuguese (Timor-Leste): ZZZ | por
Portuguese: PTB | por
Prussian (World): ZZZ | prg
Prussian: ZZZ | prg
Punjabi (Arabic): PAP | pan
Punjabi (Arabic, Pakistan): PAP | pan
Punjabi (Gurmukhi): ZZZ | pan
Punjabi (Gurmukhi, India): ZZZ | pan
Punjabi: PAN | pan
Quechua (Bolivia): ZZZ | que
Quechua (Ecuador): ZZZ | que
Quechua (Peru): ZZZ | que
Quechua: ZZZ | que
Romanian (Moldova): ROD | ron
Romanian (Romania): ROM | ron
Romanian: ROM | ron
Romansh (Switzerland): RMC | roh
Romansh: RMC | roh
Rombo (Tanzania): ZZZ | rof
Rombo: ZZZ | rof
Rundi (Burundi): ZZZ | run
Rundi: ZZZ | run
Russian (Belarus): ZZZ | rus
Russian (Kazakhstan): ZZZ | rus
Russian (Kyrgyzstan): ZZZ | rus
Russian (Moldova): RUM | rus
Russian (Russia): RUS | rus
Russian (Ukraine): ZZZ | rus
Russian: RUS | rus
Rwa (Tanzania): ZZZ | rwk
Rwa: ZZZ | rwk
Saho (Eritrea): ZZZ | ssy
Saho: ZZZ | ssy
Sakha (Russia): SAH | sah
Sakha: SAH | sah
Samburu (Kenya): ZZZ | saq
Samburu: ZZZ | saq
Sango (Central African Republic): ZZZ | sag
Sango: ZZZ | sag
Sangu (Tanzania): ZZZ | sbp
Sangu: ZZZ | sbp
Sanskrit (India): SAN | san
Sanskrit: SAN | san
Santali (Ol Chiki): ZZZ | sat
Santali (Ol Chiki, India): ZZZ | sat
Santali: ZZZ | sat
Scottish Gaelic (United Kingdom): GLA | gla
Scottish Gaelic: GLA | gla
Sena (Mozambique): ZZZ | seh
Sena: ZZZ | seh
Serbian (Cyrillic): SRO | srp
Serbian (Cyrillic, Bosnia & Herzegovina): SRN | srp
Serbian (Cyrillic, Kosovo): ZZZ | srp
Serbian (Cyrillic, Montenegro): SRQ | srp
Serbian (Cyrillic, Serbia): SRO | srp
Serbian (Latin): SRM | srp
Serbian (Latin, Bosnia & Herzegovina): SRS | srp
Serbian (Latin, Kosovo): ZZZ | srp
Serbian (Latin, Montenegro): SRP | srp
Serbian (Latin, Serbia): SRM | srp
Serbian: SRB | srp
Sesotho (Lesotho): ZZZ | sot
Sesotho (South Africa): SOT | sot
Sesotho sa Leboa (South Africa): NSO | nso
Sesotho sa Leboa: NSO | nso
Sesotho: SOT | sot
Setswana (Botswana): TSB | tsn
Setswana (South Africa): TSN | tsn
Setswana: TSN | tsn
Shambala (Tanzania): ZZZ | ksb
Shambala: ZZZ | ksb
Shona (Zimbabwe): ZZZ | sna
Shona: SNA | sna
Sindhi (Arabic): SIP | snd
Sindhi (Arabic, Pakistan): SIP | snd
Sindhi (Devanagari): ZZZ | snd
Sindhi (Devanagari, India): ZZZ | snd
Sindhi: SIP | snd
Sinhala (Sri Lanka): SIN | sin
Sinhala: SIN | sin
siSwati (Eswatini): ZZZ | ssw
siSwati (South Africa): ZZZ | ssw
siSwati: ZZZ | ssw
Skolt Sami (Finland): SMS | sms
Skolt Sami: SMS | sms
Slovak (Slovakia): SKY | slk
Slovak: SKY | slk
Slovenian (Slovenia): SLV | slv
Slovenian: SLV | slv
Soga (Uganda): ZZZ | xog
Soga: ZZZ | xog
Somali (Djibouti): ZZZ | som
Somali (Ethiopia): ZZZ | som
Somali (Kenya): ZZZ | som
Somali (Somalia): SOM | som
Somali: SOM | som
South Ndebele (South Africa): ZZZ | nbl
South Ndebele: ZZZ | nbl
Southern Sami (Norway): SMA | sma
Southern Sami (Sweden): SMB | sma
Southern Sami: SMB | sma
Spanish (Argentina): ESS | spa
Spanish (Belize): ZZZ | spa
Spanish (Bolivia): ESB | spa
Spanish (Brazil): ZZZ | spa
Spanish (Chile): ESL | spa
Spanish (Colombia): ESO | spa
Spanish (Costa Rica): ESC | spa
Spanish (Cuba): ESK | spa
Spanish (Dominican Republic): ESD | spa
Spanish (Ecuador): ESF | spa
Spanish (El Salvador): ESE | spa
Spanish (Equatorial Guinea): ZZZ | spa
Spanish (Guatemala): ESG | spa
Spanish (Honduras): ESH | spa
Spanish (Latin America): ESJ | spa
Spanish (Mexico): ESM | spa
Spanish (Nicaragua): ESI | spa
Spanish (Panama): ESA | spa
Spanish (Paraguay): ESZ | spa
Spanish (Peru): ESR | spa
Spanish (Philippines): ZZZ | spa
Spanish (Puerto Rico): ESU | spa
Spanish (Spain): ESN | spa
Spanish (United States): EST | spa
Spanish (Uruguay): ESY | spa
Spanish (Venezuela): ESV | spa
Spanish: ESP | spa
Standard Moroccan Tamazight (Morocco): ZZZ | zgh
Standard Moroccan Tamazight: ZHG | zgh
Sundanese (Latin): ZZZ | sun
Sundanese (Latin, Indonesia): ZZZ | sun
Sundanese: ZZZ | sun
Swedish (Åland Islands): ZZZ | swe
Swedish (Finland): SVF | swe
Swedish (Sweden): SVE | swe
Swedish: SVE | swe
Swiss German (France): GSW | gsw
Swiss German (Liechtenstein): ZZZ | gsw
Swiss German (Switzerland): ZZZ | gsw
Swiss German: ZZZ | gsw
Syriac (Syria): SYR | syr
Syriac: SYR | syr
Tachelhit (Latin): ZZZ | shi
Tachelhit (Latin, Morocco): ZZZ | shi
Tachelhit (Tifinagh): ZZZ | shi
Tachelhit (Tifinagh, Morocco): ZZZ | shi
Tachelhit: ZZZ | shi
Taita (Kenya): ZZZ | dav
Taita: ZZZ | dav
Tajik (Tajikistan): ZZZ | tgk
Tajik: TAJ | tgk
Tamil (India): TAI | tam
Tamil (Malaysia): ZZZ | tam
